model,backend_baseline,batch,latency_ms_baseline,throughput_img_s_baseline,backend_tvm,latency_ms_tvm,throughput_img_s_tvm,speedup
resnet18,onnxruntime_cpu,1,69.45940650000011,14.39689813646764,tvm_cpu,289.30724035,3.456532919087035,0.2400887251074984
resnet18,onnxruntime_cpu,4,260.003896369999,15.38438483363262,tvm_cpu,1757.6707674,2.275739048625655,0.1479252549410062
resnet18,onnxruntime_cpu,8,563.5354725999991,14.196089490321132,tvm_cpu,3457.54469017,2.3137806498190647,0.16298718399856496
